QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,Percentage Change C_LAST,Percentage Change UNDERLYING_LAST,Percentage Gain C_LAST,Percentage Gain UNDERLYING_LAST,Days to Max C_LAST,Days to Max UNDERLYING_LAST
2017-04-10,143.16,2019-01-18,1547845200,648.04,0.1136,0.00455,0.36639,-0.00547,0.24933,0.22136,10.0,1.9, 7 x 2,1.85,2.3,210.0,66.8,0.467,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-04-11,141.62,2019-01-18,1547845200,647.04,0.09995,0.00424,0.33152,-0.00502,0.21802,0.21919,72.0,1.7, 5 x 591,1.6,1.89,210.0,68.4,0.483,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-04-17,141.83,2019-01-18,1547845200,641.04,0.09719,0.0042,0.32337,-0.00456,0.21116,0.21673,26.0,1.72, 3 x 570,1.5,1.85,210.0,68.2,0.481,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-04-27,143.79,2019-01-18,1547845200,631.04,0.10538,0.00442,0.34481,-0.00555,0.22789,0.21718,26.0,1.82, 4 x 740,1.73,1.97,210.0,66.2,0.46,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-01,146.56,2019-01-18,1547845200,627.04,0.11484,0.00472,0.37197,-0.00613,0.25133,0.21468,33.0,2.11, 14 x 1,2.02,2.11,210.0,63.4,0.433,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-02,147.46,2019-01-18,1547845200,626.04,0.10995,0.00469,0.3634,-0.00584,0.24332,0.20844,154.0,1.96, 10 x 4,1.75,2.09,210.0,62.5,0.424,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-03,147.04,2019-01-18,1547845200,625.04,0.11209,0.00465,0.36575,-0.00587,0.24523,0.21127,231.0,1.92, 1 x 176,1.88,2.05,210.0,63.0,0.428,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-04,146.54,2019-01-18,1547845200,624.04,0.1077,0.00461,0.35588,-0.00594,0.23791,0.20987,79.0,1.9, 20 x 68,1.8,1.94,210.0,63.5,0.433,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-05,148.96,2019-01-18,1547845200,623.04,0.1179,0.00485,0.38408,-0.00618,0.2622,0.20841,460.0,2.03, 350 x 61,2.01,2.2,210.0,61.0,0.41,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2017-05-08,153.01,2019-01-18,1547845200,620.04,0.13963,0.00531,0.44324,-0.00736,0.31534,0.2081,334.0,2.75, 678 x 690,2.37,2.9,210.0,57.0,0.372,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
